feature,count,freq
submand_R__dose__wavelet-HLL_glszm_SmallAreaEmphasis,1,0.2
submand_R__dose__wavelet-LHL_glcm_Correlation,1,0.2
submand_R__dose__wavelet-LHL_glcm_Imc1,1,0.2
submand_R__dose__wavelet-LHL_glcm_Imc2,1,0.2
submand_R__dose__wavelet-LLH_firstorder_Mean,1,0.2
submand_R__dose__wavelet-LLH_glszm_GrayLevelNonUniformityNormalized,1,0.2
submand_R__dose__wavelet-LLL_firstorder_90Percentile,1,0.2
submand_R__dose__wavelet-LLL_glcm_MCC,1,0.2
submand_R__dose__wavelet-LLL_glszm_SmallAreaHighGrayLevelEmphasis,1,0.2
submand__sym__absdiff__dose__log-sigma-1-0-mm-3D_ngtdm_Contrast,1,0.2
submand__sym__absdiff__dose__log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,1,0.2
submand__sym__absdiff__dose__log-sigma-3-0-mm-3D_firstorder_Minimum,1,0.2
submand__sym__absdiff__dose__log-sigma-3-0-mm-3D_glszm_SmallAreaHighGrayLevelEmphasis,1,0.2
submand__sym__absdiff__dose__original_glrlm_ShortRunLowGrayLevelEmphasis,1,0.2
submand__sym__absdiff__dose__original_shape_MajorAxisLength,1,0.2
submand__sym__absdiff__dose__original_shape_Maximum2DDiameterSlice,1,0.2
submand__sym__absdiff__dose__wavelet-HHH_gldm_LargeDependenceHighGrayLevelEmphasis,1,0.2
submand__sym__absdiff__dose__wavelet-HHH_gldm_LargeDependenceLowGrayLevelEmphasis,1,0.2
submand__sym__absdiff__dose__wavelet-HHH_glszm_GrayLevelNonUniformityNormalized,1,0.2
submand__sym__absdiff__dose__wavelet-HHL_firstorder_Median,1,0.2
submand__sym__absdiff__dose__wavelet-HHL_firstorder_Skewness,1,0.2
submand__sym__absdiff__dose__wavelet-HHL_glszm_SmallAreaEmphasis,1,0.2
submand__sym__absdiff__dose__wavelet-HLH_firstorder_10Percentile,1,0.2
submand__sym__absdiff__dose__wavelet-HLH_gldm_DependenceNonUniformity,1,0.2
submand__sym__absdiff__dose__wavelet-HLH_glszm_SizeZoneNonUniformity,1,0.2
submand__sym__absdiff__dose__wavelet-HLL_glcm_MCC,1,0.2
submand__sym__absdiff__dose__wavelet-LHH_firstorder_90Percentile,1,0.2
submand__sym__absdiff__dose__wavelet-LHH_gldm_SmallDependenceLowGrayLevelEmphasis,1,0.2
submand__sym__absdiff__dose__wavelet-LHH_glszm_LargeAreaHighGrayLevelEmphasis,1,0.2
submand__sym__absdiff__dose__wavelet-LHH_glszm_LowGrayLevelZoneEmphasis,1,0.2
submand__sym__absdiff__dose__wavelet-LHL_glrlm_RunVariance,1,0.2
submand__sym__absdiff__dose__wavelet-LLH_firstorder_Maximum,1,0.2
submand__sym__absdiff__dose__wavelet-LLH_glrlm_LongRunHighGrayLevelEmphasis,1,0.2
submand__sym__absdiff__dose__wavelet-LLL_firstorder_Maximum,1,0.2
submand__sym__absdiff__dose__wavelet-LLL_glcm_ClusterProminence,1,0.2
submand__sym__absdiff__dose__wavelet-LLL_glcm_MaximumProbability,1,0.2
submand__sym__absdiff__dose__wavelet-LLL_gldm_DependenceNonUniformity,1,0.2
submand__sym__absdiff__dose__wavelet-LLL_glszm_GrayLevelNonUniformity,1,0.2
submand__sym__absdiff__dose__wavelet-LLL_ngtdm_Coarseness,1,0.2
submand__sym__absratio__dose__original_firstorder_Skewness,1,0.2
submand__sym__absratio__dose__original_glcm_Idn,1,0.2
submand__sym__absratio__dose__original_glszm_LargeAreaHighGrayLevelEmphasis,1,0.2
submand__sym__absratio__dose__original_shape_MajorAxisLength,1,0.2
submand__sym__diff__dose__original_firstorder_90Percentile,1,0.2
submand__sym__max__dose__log-sigma-3-0-mm-3D_glrlm_GrayLevelNonUniformity,1,0.2
submand__sym__max__dose__original_firstorder_90Percentile,1,0.2
